place_id,nombre,rating,reseñas,price_level,lat,lon,address,types
ChIJt4kyM6CfP44R4SgLEdnKd8w,Barbería Legendarios,5.0,181,,4.6632801,-74.05739319999999,"Kr 13 #77-45, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJ4Q9koYSFP44R3MY9rXy6DD0,FLOW DC BARBER / BARBERIA,5.0,6,,4.7655923,-74.04718869999999,"Cl. 187 #49-64 LOCAL 2-27 SEGUNDO PISO, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJlfgTox-ZP44Rht6Sx77Gj2M,Barber Club Lobo Rojo Studio,5.0,310,,4.619674400000001,-74.0687701,"Cl 32 Bis A #13 - 12, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJ9y9ZE9SbP44RXIr_couS1n8,Fabric Barberia Universidad Nacional,4.6,455,,4.631226000000001,-74.081544,"Cra. 33 #28-27, Bogotá","hair_care,beauty_salon,spa,health,point_of_interest,establishment"
ChIJ-TSJf9ubP44RypH00D46518,Barberia american style,4.6,59,,4.6856041,-74.0658298,"Cra. 60 #97-2 a 97-98, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJj5Ebwy-aP44RzFA7zpBMElI,305 Barber Company,4.6,316,,4.601814200000001,-74.06910789999999,"Cra. 3 #17-33 Piso 2, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJrcUTBOubP44Rl517EKsf0eo,VIKINGS BARBER SHOP,4.7,229,,4.669607699999999,-74.0553353,"Ak 15 #84a - 18, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJk2uWx0OFP44Ru5N8od7nZmQ,The Barbas Barber Shop - Barberia Tradicional,4.6,252,,4.7226438,-74.0461926,"Cra 19 # 138-44 local 201, Bogotá","hair_care,bar,health,point_of_interest,establishment"
ChIJJb17FvibP44REZXXmM6gbD8,Rústico barber shop,4.8,162,,4.664327699999999,-74.0565573,"Kr 13 #78-17, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJE2MdQYybP44RpPUuUusQ8f0,Fratello Barberia,4.6,61,,4.6844424,-74.06145,"Cra. 49 #9513, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJoSIVJL-bP44RJRaguTyZ5tc,Cinema Barberia,4.5,266,,4.6464128,-74.0618471,"Cra. 9 #60-70, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJ0fy8lzmbP44RfVjQWsm0IGg,Lord Barber Club - Barberia sede Galerias,4.7,137,,4.641096999999999,-74.0742684,"Cra. 24 #52-33, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJnUoS366aP44RDaMsFRV39mA,Mustaches Barbería 119,4.7,373,,4.698259699999999,-74.0371826,"Cl. 119 #11b 05, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJ5_0WJVmEP44RQPrSTjO7dts,CLUBMAN'S BARBERÍA,4.8,473,,4.742368,-74.08596500000002,"Cl. 147 #94A 12, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJH0Br9KieP44Rkseee-CPdik,Fabric Barberia Mundo Aventura,4.6,397,,4.6255732,-74.1339963,"Ac. 3 #71A-12, Hipotecho, Bogotá","hair_care,beauty_salon,spa,health,point_of_interest,establishment"
ChIJM1yuBPWaP44RYPdQY1t34WM,Cut Club,4.7,316,,4.668349399999999,-74.0556672,"Cl. 83 #14A-09, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJlT_r7RGbP44RjJCXKxGVckc,Barbería Cristian Ortiz Street Barber,4.9,140,,4.6781128,-74.093822,"Bogotá, Bogota","hair_care,health,point_of_interest,establishment"
ChIJJ7pKZCaFP44R8oFu0Vqt_Dw,BARBERÍA 501 - CEDRITOS,4.9,188,,4.7260856,-74.0381539,"Cl. 145a #13-26, Usaquén, Bogotá, Cundinamarca","hair_care,health,point_of_interest,establishment"
ChIJZSRzUIePP44R08tVaLhJGKY,Jósan Barberia,4.2,41,,4.739866699999999,-74.0293536,"Cl. 163a #8f-05, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJhdLD17aFP44R2S1yCSMRU7M,Diego Neira Barber Calle 165,4.8,467,,4.7431245,-74.0332737,"Cl. 165 #13a 15 segundo piso, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJOcC5zXibP44RADh4pR61_C0,Barbería The Barbarians Bogotá,4.6,210,,4.693762599999999,-74.0785076,"centro empresarial Vardí, Cl. 98 #70 - 91, Suba, Bogotá, Cundinamarca","store,point_of_interest,establishment"
ChIJzcGZ-SKbP44RYjLD5AKWDAw,Supreme Barber Shop,4.4,40,,4.6648051,-74.0600821,"Cl. 77 #16a-56, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJRYZJFhyRP44RyvFlQJh9Amk,Morrison Club DC,4.6,246,,4.6952486,-74.0296401,"Cl. 119 #05-14, Bogotá","art_gallery,meal_delivery,hair_care,bar,restaurant,food,health,point_of_interest,establishment"
ChIJAy0DC76aP44Ro4lDtBLWDQI,JOSEPP PELUQUERIA HAIR & NAILS - BARBERIA,4.5,140,,4.6872627,-74.0478942,"Ak 15 #102-09, Usaquén, Bogotá, Cundinamarca","hair_care,beauty_salon,health,point_of_interest,establishment"
ChIJaSqDSESaP44R8JyqbKwbqiM,Figaro Barber Shop - Barbería Calle 67,4.4,535,,4.6530688,-74.0616089,"Cl. 67 #11-22, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJaWKBRKSbP44RXmJuz6H1uvU,KingsMen Barber Shop,4.8,484,,4.6537793,-74.0556857,"Ak 7 No. 70a-20, Rosales, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJ4-WFJVmbP44R4uQcqIGPO_4,Barbería All Handmade,4.9,132,,4.6327807,-74.0636324,"Ak 7 #46 20 Local 6, Chapinero, Bogotá, Cundinamarca","hair_care,health,point_of_interest,establishment"
ChIJAx5P8Y-bP44R4X7Dt14S0v8,Mustaches Barbería Tradicional Salitre,4.6,422,,4.657204699999999,-74.1136114,"Ac. 24 #69c-53, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJ-xA7Ny-aP44RuzZkeNXCCC0,BAD BOYS CLL 45,4.4,233,,4.6322436,-74.0670121,"Cl. 45 #13-41, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJdXcaVRyFP44ROfyBX0th_YQ,Barberia Full HD,4.5,22,,4.7643547,-74.0365364,"Cl. 187 #15a-69, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJG5ZmLFGbP44RaFMTR1ttnp8,Pompilios Barber Club,4.8,230,,4.6741891,-74.0529522,"Cl. 90 #14-45, Bogotá","hair_care,health,point_of_interest,establishment"
