place_id,nombre,rating,reseñas,price_level,lat,lon,address,types,nearest_node,betweenness_vial,tipo_via,distancia_via,peso_tipo_via,IIV,dist_norm,bet_norm,peso_norm
ChIJv8Juk0uaP44Rx77sUiFSWIo,Texaco Chapinero,3.9,212,,4.6507638,-74.0727472,"39, Cra. 24 #62, Teusaquillo, Bogotá","gas_station,point_of_interest,establishment",919249219,0.007420826623725174,secondary,21.51764312532368,2,0.15171522369871338,0.044409621132834504,0.11317125081859855,0.3333333333333333
ChIJpZKRZ3ubP44RGK4YVqG5SwM,Estación TERPEL Metro San Cayetano,4.1,399,,4.6768127,-74.1173396,"Cl. 46a #85A-51, Engativá, Bogotá","gas_station,point_of_interest,establishment",261664199,0.0007246376811594203,primary,46.76288609113356,3,0.21169002746995083,0.02093675826230347,0.011051080550098232,0.6666666666666666
ChIJk6M_pfiPP44R-TO___kQnv4,REDH PETROBRAS ABADÍA,4.0,436,,4.7111979,-74.02933019999999,"Ak 7 # 133 - 31, Bogotá","gas_station,point_of_interest,establishment",9799677387,0.007796564680622652,primary,23.70054096122749,3,0.2518644095352682,0.04048494328807223,0.11890144073346431,0.6666666666666666
ChIJtT2IjCWbP44REF3Unyh6aho,Service station Terpel Pontevedra,4.3,1653,,4.696497,-74.084532,"Av. Boyacá # 93-72, Bogotá","gas_station,cafe,store,meal_delivery,food,point_of_interest,establishment",5587119013,0.03933440687063876,trunk,20.55431259459204,4,0.49851847839939106,0.046394427825589724,0.5998690242305174,1.0
ChIJ-9byVUmFP44Rt9gmUe3Tp4c,Primax el Country,4.2,247,,4.710947,-74.0478376,"Cra 19 #127c - 50, Bogotá","gas_station,point_of_interest,establishment",369183488,0.004790660225442834,secondary,18.054169237813046,2,0.14291075732221345,0.052481952244629884,0.0730599214145383,0.3333333333333333
ChIJo_f8GGKaP44RWPjrHLOQ6Q8,REDH PRIMAX KL,4.0,124,,4.665056799999999,-74.04706999999999,"Ak 7 #84D-57, Chapinero, Bogotá, Cundinamarca","gas_station,point_of_interest,establishment",5133139635,0.009366612989801395,primary,13.551086922387888,3,0.27034298998682493,0.06872338852305448,0.14284544859201048,0.6666666666666666
ChIJ92Ljh1uaP44RIMfP-3DR9js,Texaco El Pino 73,4.2,268,,4.65945,-74.05944099999999,"Cl. 73 #88, Bogotá","gas_station,point_of_interest,establishment",10062516861,0.006333870101986044,tertiary,12.99522135110893,1,0.05755957324406413,0.07145296061507192,0.09659462999345121,0.0
ChIJ7Z8QCrqeP44R6kB90IJ-lHo,Texaco Darien Bogotá,4.2,244,,4.6141108,-74.1358243,"Cra. 69b #26-35 Sur, Antonio Nariño, Bogotá","gas_station,point_of_interest,establishment",12483533786,0.013470209339774558,tertiary,16.911354333399885,1,0.08396039547975567,0.05583050736343636,0.20542730844793713,0.0
ChIJL-U9Yo6cP44RX7OHjgLZ92A,EDS Terpel Fontibon Ferrocarril,4.3,1147,,4.6757697,-74.1405782,"Av. Ferrocarril de Occidente #98A-03, Fontibón, Bogotá","gas_station,point_of_interest,establishment",281840860,0.007890499194847021,secondary,20.779472401386887,2,0.15446611427048448,0.0459147945170757,0.12033398821218075,0.3333333333333333
ChIJwcA6ndObP44Rj8c1hqFBzdw,Texaco GNV,3.8,538,,4.632583599999999,-74.0800629,"Carrera 33, Teusaquillo, Bogotá","gas_station,point_of_interest,establishment",13252352386,0.030950080515297906,secondary,16.70800238450638,2,0.26418983623263703,0.05647164362677917,0.4720039292730845,0.3333333333333333
